Area,2015-16,2016-17,2017-18,2018-19,2019-20
Pakenham - South,"27,036","25,530","26,357","26,297","28,183"
Berwick - North,"26,770","26,648","28,388","28,994","32,023"
Berwick - South,"29,753","29,415","29,923","29,826","31,995"
Doveton,"20,529","20,448","21,721","22,381","23,627"
Hallam,"23,756","24,565","24,749","24,770","25,451"
Narre Warren North,"26,340","26,822","28,531","28,627","31,423"
Endeavour Hills - North,"27,118","26,562","27,117","27,475","30,823"
Endeavour Hills - South,"25,170","25,625","27,363","27,281","29,898"
Narre Warren - North East,"26,792","26,862","28,648","29,125","31,339"
Narre Warren - South West,"25,505","25,960","25,240","25,245","28,758"
Cranbourne,"24,541","25,675","24,975","25,116","27,038"
Cranbourne East,"29,211","28,649","28,246","28,154","29,299"
Cranbourne North,"26,636","26,953","26,690","28,404","29,247"
Cranbourne South,"29,685","31,047","31,990","32,334","35,366"
Cranbourne West,"28,290","27,775","27,636","27,948","29,400"
Hampton Park - Lynbrook,"24,183","23,944","24,927","26,414","27,462"
Lynbrook - Lyndhurst,"30,503","29,169","29,887","30,298","31,387"
Pearcedale - Tooradin,"27,382","26,957","28,954","31,207","31,746"
Narre Warren South (East),"27,360","28,201","27,930","29,059","30,735"
Narre Warren South (West),"27,000","25,990","26,309","27,328","30,301"
Clarinda - Oakleigh South,"26,227","26,540","27,265","27,808","30,862"
Clayton South,"20,412","19,615","20,000","19,716","20,918"
Dandenong,"19,109","19,052","19,127","19,850","21,000"
Dandenong North,"22,792","22,751","23,426","23,057","24,696"
Dingley Village,"28,266","27,925","29,692","30,106","33,041"
Keysborough,"27,093","27,109","27,855","27,548","29,525"
Noble Park North,"25,028","25,324","25,246","25,777","26,776"
Springvale,"18,200","18,437","18,536","18,153","18,382"
Springvale South,"21,229","21,078","21,475","21,941","23,062"
Noble Park - East,"20,800","19,843","19,705","20,105","20,406"
Noble Park - West,"21,287","19,794","19,763","19,791","20,702"
Ashwood - Chadstone,"24,863","23,863","25,414","24,626","27,000"
Clayton,"15,570","14,614","14,524","13,699","14,028"
Glen Waverley - East,"24,094","23,783","24,293","24,729","26,334"
Glen Waverley - West,"23,920","22,991","22,653","22,823","25,213"
Mount Waverley - North,"24,383","24,483","24,000","24,943","27,749"
Mount Waverley - South,"26,091","25,403","26,422","26,510","29,674"
Mulgrave,"27,836","27,375","28,290","27,530","29,676"
Oakleigh - Huntingdale,"25,230","25,069","25,835","25,341","27,522"
Wheelers Hill,"26,717","27,558","27,838","27,679","29,718"
Ardeer - Albion,"20,287","19,274","19,995","20,141","21,163"
Cairnlea,"27,488","26,000","25,811","27,578","30,833"
Deer Park - Derrimut,"27,190","25,936","26,277","26,147","28,484"
Delahey,"26,000","25,856","25,373","25,800","29,955"
Keilor Downs,"26,748","27,057","27,538","28,246","31,882"
Kings Park (Vic.),"23,629","22,604","23,151","23,337","25,735"
