 Area,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,Total,Lga
Hampton Park - Lynbrook,0.2,0,2.5,0.2,0.9,1.1,1.7,1,0.7,0.2,0.6,0.2,0.8,2.9,0.6,0.6,2,0.2,0.6,17.4,Casey
Lynbrook - Lyndhurst,0.1,0,1.4,0.1,0.5,0.8,1.3,0.7,0.5,0.2,0.6,0.2,0.9,1.6,0.4,0.6,1.8,0.1,0.4,12.6,Casey
Pearcedale - Tooradin,0.1,0,0.5,0,0.8,0.3,0.6,0.3,0.2,0,0.2,0.1,0.3,0.4,0.2,0.4,0.6,0.1,0.2,5.6,Casey
Narre Warren South (East),0,0,0.9,0.1,0.8,0.6,1.2,0.6,0.3,0.2,0.4,0.2,0.5,1,0.4,0.6,1.1,0.2,0.3,9.6,Casey
Narre Warren South (West),0,0,1.2,0.1,0.8,0.8,1.3,0.7,0.4,0.1,0.5,0.2,0.6,1.5,0.4,0.6,1.3,0.2,0.4,11.4,Casey
Clarinda - Oakleigh South,0,0,0.6,0,0.4,0.4,0.9,0.5,0.3,0.2,0.4,0.1,0.6,0.8,0.3,0.5,1,0.1,0.3,7.7,Monash
Clayton South,0.1,0,0.8,0.1,0.4,0.6,1,1.1,0.3,0.1,0.4,0.2,0.8,1.9,0.3,0.5,1.2,0.1,0.4,10.5,Kingston
Dandenong,0.2,0,2.7,0.2,0.9,1.1,1.8,1.5,0.5,0.2,0.7,0.2,0.9,4.1,0.6,0.7,2.5,0.2,0.6,20.1,Greater Dandenong
Dandenong North,0.1,0,1.6,0.1,0.8,0.8,1.5,1,0.4,0.2,0.6,0.2,0.8,2.3,0.5,0.8,1.9,0.2,0.5,14.7,Greater Dandenong
Dingley Village,0,0,0.6,0.1,0.5,0.5,0.9,0.5,0.2,0.1,0.4,0.2,0.6,0.6,0.3,0.7,0.8,0.2,0.3,7.3,Kingston
Keysborough,0.2,0,2.7,0.2,0.9,1.4,2.3,1.4,0.6,0.2,1,0.3,1.4,2.5,0.6,1.1,2.3,0.2,0.8,21,Greater Dandenong
Noble Park North,0,0,0.5,0,0.3,0.3,0.5,0.4,0.2,0.1,0.2,0.1,0.3,0.7,0.1,0.3,0.6,0.1,0.2,5,Greater Dandenong
Springvale,0.5,0,2,0.1,0.5,1,1.7,1.9,0.3,0.2,0.6,0.2,1,2.8,0.3,0.6,1.6,0.2,0.8,16.7,Greater Dandenong
Springvale South,0.3,0,1.4,0.1,0.3,0.6,0.9,0.7,0.2,0.1,0.3,0.1,0.5,1.5,0.2,0.3,0.7,0.1,0.4,8.9,Greater Dandenong
Noble Park - East,0.2,0,1.1,0.1,0.3,0.5,0.9,0.9,0.3,0.1,0.4,0.1,0.6,2,0.4,0.5,1.3,0.1,0.4,10.3,Greater Dandenong
Noble Park - West,0.4,0,2,0.1,0.5,0.8,1.4,1.2,0.4,0.1,0.5,0.1,0.8,2.8,0.4,0.6,1.6,0.1,0.6,14.6,Greater Dandenong
Ashwood - Chadstone,0,0,0.7,0.1,0.6,0.7,1.6,1.3,0.3,0.3,0.9,0.3,1.6,1.6,0.6,1.4,1.8,0.3,0.5,14.9,Monash
Clayton,0.1,0,0.8,0.1,0.5,0.8,1.5,2,0.2,0.3,0.5,0.2,1.4,2.6,0.3,2.1,1.7,0.2,0.5,16.3,Monash
Glen Waverley - East,0,0,0.8,0.1,0.5,0.8,1.4,1.2,0.3,0.3,0.9,0.3,1.6,1.2,0.6,1.4,1.6,0.3,0.4,13.9,Monash
Glen Waverley - West,0,0,0.7,0.1,0.4,0.8,1.5,1.3,0.3,0.3,0.8,0.3,1.6,1.3,0.5,1.2,1.6,0.2,0.4,13.8,Monash
Mount Waverley - North,0,0,0.5,0.1,0.4,0.6,1.2,0.8,0.2,0.3,0.6,0.2,1.4,1.1,0.4,1.1,1.2,0.2,0.3,11,Monash
Mount Waverley - South,0,0,0.6,0.1,0.6,0.7,1.3,1,0.3,0.3,0.8,0.2,1.6,1.3,0.6,1.4,1.5,0.2,0.4,13.5,Monash
Mulgrave,0,0,1,0.1,0.7,0.8,1.5,1,0.3,0.2,0.8,0.2,1.1,1.6,0.6,1.1,1.7,0.2,0.5,13.8,Monash
Oakleigh - Huntingdale,0,0,0.9,0.1,0.8,0.9,1.9,1.6,0.4,0.4,0.9,0.3,1.8,1.9,0.7,1.8,2,0.3,0.5,17.6,Monash
Wheelers Hill,0,0,0.8,0.1,0.6,0.9,1.4,0.9,0.2,0.3,0.8,0.3,1.3,1.1,0.5,1.3,1.5,0.2,0.3,12.9,Monash
Ardeer - Albion,0,0,0.4,0,0.3,0.2,0.5,0.7,0.2,0.1,0.3,0.1,0.4,1.2,0.3,0.3,0.7,0.1,0.2,6.3,Brimbank
Cairnlea,0,0,0.6,0,0.3,0.3,0.8,0.6,0.4,0.1,0.4,0.1,0.4,0.9,0.3,0.4,0.7,0.1,0.3,6.8,Brimbank
Deer Park - Derrimut,0.1,0,1.5,0.1,0.9,0.8,1.7,1.4,1.1,0.2,0.8,0.3,1,3,0.8,0.7,2.1,0.3,0.6,18.1,Brimbank
Delahey,0,0,0.5,0,0.3,0.3,0.6,0.4,0.4,0.1,0.3,0.1,0.3,0.8,0.3,0.2,0.6,0.1,0.2,5.5,Brimbank
Keilor Downs,0,0,0.5,0.1,0.6,0.4,0.9,0.6,0.6,0.1,0.5,0.1,0.5,1.1,0.5,0.6,0.9,0.2,0.3,8.8,Brimbank
Kings Park (Vic.),0.1,0,0.9,0.1,0.4,0.4,0.9,0.7,0.5,0.1,0.4,0.1,0.3,1.4,0.3,0.3,0.8,0.1,0.4,8.3,Brimbank
St Albans - North,0.1,0,1.1,0.1,0.6,0.6,1.3,1.5,0.6,0.1,0.5,0.2,0.6,2.6,0.5,0.4,1.3,0.2,0.6,13.3,Brimbank
St Albans - South,0.1,0,0.9,0.1,0.4,0.5,1.1,1.4,0.5,0.1,0.5,0.1,0.5,2,0.4,0.4,1.1,0.2,0.6,11.1,Brimbank
Sunshine,0.1,0,0.5,0.1,0.3,0.3,0.7,1.1,0.3,0.1,0.3,0.1,0.5,1.5,0.4,0.5,0.8,0.1,0.3,8.2,Brimbank
Sunshine North,0.1, np ,0.7,0.1,0.4,0.4,0.9,0.8,0.4,0.1,0.3,0.1,0.4,1.3,0.3,0.4,0.7,0.1,0.4,8,Brimbank
Sunshine West,0.1,0,1,0.1,0.6,0.7,1.3,1.1,0.7,0.2,0.6,0.2,0.7,2.2,0.5,0.6,1.2,0.2,0.5,12.6,Brimbank
Sydenham,0,0,0.5,0.1,0.5,0.3,0.9,0.7,0.6,0.1,0.4,0.2,0.6,1.3,0.4,0.5,1,0.2,0.3,8.9,Brimbank
