Area,2015-16,2016-17,2017-18,2018-19,2019-20,Lga
Keysborough,19.2,20.6,21.5,23.1,23.2,Greater Dandenong
Noble Park North,5.2,5.4,5.4,5.7,5.5,Greater Dandenong
Springvale,14.8,15.7,16.9,18.2,18.7,Greater Dandenong
Springvale South,8.8,9.1,9.5,9.9,9.7,Greater Dandenong
Noble Park - East,9.5,10.3,10.8,11.7,11.8,Greater Dandenong
Noble Park - West,12.6,13.8,14.7,15.8,16.2,Greater Dandenong
Ashwood - Chadstone,14,15.2,15.6,16.6,16.7,Monash
Clayton,14,14.8,15.8,17.3,18.3,Monash
Glen Waverley - East,14.8,15.2,15.5,15.9,15.7,Monash
Glen Waverley - West,13.8,14.1,14.7,15.6,15.5,Monash
Mount Waverley - North,11.3,11.8,12.1,12.6,12.4,Monash
Mount Waverley - South,13.7,14.5,15,15.3,15.1,Monash
Mulgrave,14.3,14.5,14.7,15.4,15.5,Monash
Oakleigh - Huntingdale,17,17.9,18.5,19.5,19.6,Monash
Wheelers Hill,14.5,14.4,14.6,14.9,14.6,Monash
Ardeer - Albion,6.1,6.4,6.7,7.2,7.1,Brimbank
Cairnlea,7,7.3,7.7,7.7,7.6,Brimbank
Deer Park - Derrimut,18.3,19.3,20,20.6,20,Brimbank
Delahey,6,6.2,6.3,6.4,6,Brimbank
Keilor Downs,9.8,10,10.1,10.3,9.7,Brimbank
Kings Park (Vic.),8.5,8.9,9.3,9.5,9.1,Brimbank
St Albans - North,12.9,13.9,14.9,15.5,15.1,Brimbank
St Albans - South,10.8,11.7,12.4,12.6,12.4,Brimbank
Sunshine,7.6,8.2,8.7,9.3,9.2,Brimbank
Sunshine North,7.6,7.9,8.5,9,9,Brimbank
Sunshine West,12.4,13.3,14,14.6,14.1,Brimbank
Sydenham,9.3,9.6,9.8,10.1,9.8,Brimbank
Taylors Lakes,14.8,15.2,14.8,14.6,14.3,Brimbank
Altona,10.2,10.6,10.7,10.8,10.7,Hobsons Bay
Altona Meadows,14.6,15.1,15.2,15.3,14.7,Hobsons Bay
Altona North,9.2,9.9,10.3,10.9,10.7,Hobsons Bay
Newport,15.1,15.9,16.1,16.6,16.3,Hobsons Bay
Seabrook,3.9,4,4.2,4.2,4.1,Hobsons Bay
Williamstown,12.7,12.9,13.1,13.4,13.3,Hobsons Bay
Braybrook,13.9,15,15.8,16.7,16.8,Maribyrnong
Footscray,16,17.2,18.1,18.7,18.7,Maribyrnong
Maribyrnong,11.1,11.9,12.3,12.7,12.7,Maribyrnong
Seddon - Kingsville,8.6,9.1,9.2,9.2,8.9,Maribyrnong
West Footscray - Tottenham,10.5,11.1,11.4,12,11.5,Maribyrnong
Yarraville,13.5,13.8,14.1,14.5,14.2,Maribyrnong
Bacchus Marsh,15,16.2,16.5,17.5,17.9,Moorabool
Hillside,15.9,16.9,18.4,19.2,19.5,Melton
Melton,12.9,14,13.9,14.1,13.7,Melton
Melton South,16.2,16.7,19.7,21.6,23.2,Melton
Melton West,12.7,7,14.4,15.2,15,Melton
Rockbank - Mount Cottrell,1.4,1.3,3.2,4.9,7.9,Melton
Taylors Hill,13.5,14.1,14.4,15,14.8,Melton
Burnside,3.3,3.6,3.7,3.9,3.9,Melton
Burnside Heights,4.3,4.6,4.6,4.8,4.6,Melton
Caroline Springs,14.7,15.4,15.8,16.3,16,Wyndham
Hoppers Crossing - North,15.5,16,16.4,16.5,15.7,Wyndham
Hoppers Crossing - South,14.2,14.7,15.4,15.7,15.2,Wyndham
Laverton,7.5,8.7,9.4,10.7,11,Wyndham
Tarneit,26.7,30.1,34.2,38.6,41.6,Wyndham
Truganina,17.6,20.3,22.7,25.7,28.2,Wyndham
Werribee - South,8.7,9.6,10.2,11.5,12.6,Wyndham
Wyndham Vale,17.1,19.3,20.5,22.5,24,Wyndham
Point Cook - East,9.2,11.2,12.5,13.9,14.8,Wyndham
Point Cook - North,17.3,18,18.8,19.1,18.8,Wyndham
Point Cook - South,11,12.5,13.1,14.2,14.2,Wyndham
Werribee - East,13.6,14.4,14.6,15,14.5,Wyndham
Werribee - West,9.5,10.8,12.2,14.3,16.2,Wyndham
